,TR.CO2DirectScope1,TR.CO2IndirectScope2,TR.GICSSectorCode,TR.F.OpExpn,TR.NumberofEmployees
10,0.48990775257784447,0.5913745647781198,0.5860394193149491,0.8806584409852566,0.28007813169929463
15,0.6830011177094907,0.6523281330251914,0.8435711380232722,0.7441174434792573,0.2308623664599201
20,0.5652653694508293,0.5818181886778984,0.3158082210315237,0.7009655974428256,0.25364922125877315
25,0.5277152425591084,0.5305544580347191,0.7807475434503284,0.7891455256779953,0.2445622935963042
30,0.6809338221463567,0.5219127580211063,0.8440353663958584,0.78686102574948,0.29820327347168596
35,0.4466744220211425,0.47246702070269436,0.11694253935738944,0.8886094499327313,0.2828390113973544
40,0.754092622259026,0.5658846585688743,1.9597462402051269,0.8174931115182836,0.2815567752656116
45,0.6439375044335669,0.7102108617910672,0.1889694127988377,0.8305767863503494,0.2602713599390435
50,0.5123053113684353,0.5160416235543035,0.32845228268427595,0.8401152971834249,0.2872680430129133
55,0.4062689943609673,0.6301494165435012,0.32064223398647484,0.7901251102311189,0.4432967858743544
60,0.5113946602885281,0.4120404894252413,0.7346701525289894,1.107871504362549,0.3525975425239876
All,0.5944941180722714,0.5780751196719399,0.7231489241460084,0.80156709620607,0.27577426736435057
