,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.08858807480106755,0.1277962755886804,0.22110858372539294,0.6307599994097771,0.9159726724496957,0.44302894437871715,0.015562533257595426,0.06789742009929303,0.0005573927616948861,0.006247082975423384,0.03183869519513671,0.0008329437519947787,0.13885755373647626,0.36077039838536995,0.40689239885490514
15,0.06059777381006621,0.07960256331614331,0.2320923558656236,0.5681742957598024,0.6492264878209331,0.4771667066551525,0.030980547407758866,0.049841987776614485,0.0005277779058281165,0.004292453476601172,0.046429232191239754,0.0020334319576581967,0.1642942557908041,1.02347586287844,0.29472383834492655
20,0.08694684533734579,0.0725409857757233,0.19184594482397696,0.5132407205591007,0.6085562605480491,0.43968534662026837,0.04497255221377977,0.07231306027054958,0.0009876844044745669,0.007511324262870516,0.06380403494616617,0.0009397913163308491,0.2126662916497486,0.37152092684014754,0.3236419559256347
25,0.07142647022169495,0.07920067997651437,0.22731630976715475,0.45883476541231377,0.6464414568541328,0.3599382606466369,0.06830539741770286,0.0850466774656943,0.0019195611904958634,0.012301604129874459,0.04705779501959052,0.0018112073939166536,0.22368061978230208,0.8444298594946293,0.404688583483655
30,0.09698304908286622,0.08493523937293397,0.25094109016767985,0.5331915400531098,0.6402502868848782,0.40907181876766546,0.03417965757394644,0.047939507318745994,0.0008025728545674921,0.007211400629246592,0.04550245084214184,0.004972940266394724,0.25141047124045107,0.9756346892674802,0.3264838153587123
35,0.09313770152680026,0.10121634203711859,0.2612430838536925,0.45546592838655586,0.7210036055630001,0.33126226811349296,0.0376110841552085,0.07006139087280587,0.0006639265789303194,0.008954199926748242,0.04905645426285882,0.0012791285614363163,0.2587587461248123,0.23801545977014602,0.4184279604071557
40,0.1212258566102231,0.20184430442801915,0.3580275025123276,0.5304940213990973,0.5651704788314749,0.463726311445691,0.03967389042389912,0.04393648408015228,0.0019059867370481382,0.015117788389966398,0.08981203665063878,0.0012090463994533427,0.2192825714712603,2.026785937584674,0.622658298487552
45,0.09641689651370393,0.08049280616165226,0.26856067875720796,0.5070456147974756,0.5855701334452397,0.4597518693871803,0.06639182616968849,0.04907360799088265,0.0020365522113471412,0.01430196941779873,0.04670241974374747,0.0014940287783984933,0.2918859346950909,0.14760564675664867,0.3676677825450091
50,0.11957881617685785,0.0804499519817402,0.26088243826257645,0.410931615990112,0.5485976060684976,0.42361998980077525,0.06135368566389152,0.04970107981148171,0.0006655623117045793,0.007221712455215837,0.04851804363952373,0.0011707015561788915,0.2115936967476583,0.410408672331981,0.2980763030246975
55,0.05209155966711624,0.08504007946523359,0.23489920497207067,0.4652793284034042,0.6310506861782565,0.4362370244056165,0.019534925350645722,0.03025478282513072,0.00042453612381474393,0.006242994509355018,0.0488081385841883,0.0008433196822935934,0.15235033154071875,0.4532783024921365,0.42872015593472473
60,0.08017990931360783,0.08159389347978402,0.559385224860739,0.367011056329991,1.1419694180924655,0.4106707042014362,0.028851798038951524,0.0465911686897549,0.0021078478687376005,0.010817515251093028,0.05818080468921849,0.0005102532507423625,0.12290699051552004,0.6381580315208333,0.3214649268475107
All,0.09002288823663403,0.09892307655093682,0.2696736118178461,0.49976300661857814,0.6478227993093361,0.43256082491908326,0.04498593825686844,0.05706146994929238,0.001263518348173278,0.009657260206712136,0.057156288689042704,0.001543779816957647,0.21434020024363729,0.7708647961884815,0.38552699798770745
