,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.NumberofEmployees,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.0957186955392021,0.053883488770799376,0.09690357500278733,0.46758025546335164,0.989722562692206,0.189676650037653,0.32191155833636886,0.028188632050110605,0.059249945414840854,0.0014629541953699006,0.02748019205329019,0.026605713253315066,0.0009479378552088121,0.13067146109657532,0.8443100025423474,0.23824770818514035
15,0.08029185083940306,0.04273846554013416,0.06768133514004449,0.4397831511962622,0.710653851304134,0.11561205732144281,0.3614810551501481,0.03652545279681789,0.03609680378012992,0.0019575371225974505,0.005883287799245483,0.032611501328107445,0.0018928028096608716,0.16425073794406753,1.134095524784503,0.21069257557746787
20,0.0943626499900969,0.037044504282190145,0.0732859582872906,0.35295873474597395,0.6830514486937065,0.11189252648415778,0.3234314522454895,0.047571209218956474,0.058957497086718116,0.004830279584526564,0.006593340151059297,0.04621230351466995,0.0013383260090046654,0.1814537895088538,0.503810440179578,0.23667223884331748
25,0.09802348839385885,0.043157490647879,0.07794156524107304,0.40663502327314993,0.7264310396303361,0.09070490896111866,0.2931530919179368,0.06028849573177547,0.05396561037368234,0.005182018101518276,0.00662914935807616,0.035942994931349184,0.0024746465520657794,0.21525780290793423,0.7817226758602274,0.3787166707350062
30,0.07886796587467944,0.045372183643158294,0.06843058296504168,0.35854647248191895,0.785275033800933,0.13563253780535742,0.33822653137248576,0.044137529801705176,0.044727222108961365,0.0030185467275629678,0.00838276399126125,0.032973288360509306,0.0047815313309162565,0.2161098476507834,1.0334459965678808,0.23092309303853206
35,0.10850023191089807,0.04701406306584019,0.07112765551630648,0.32989173448442205,0.9829457226738363,0.12627195243463618,0.29731762045639715,0.02989947088931175,0.07487133588768581,0.007224535491948473,0.010513916934507993,0.042628116265876335,0.001914397529510783,0.24626972489436036,0.15570316895849567,0.3518119452793709
40,0.1266417212212582,0.14136980252834855,0.13574929635676444,0.3949970587468771,0.6837924234587894,0.11242874115646628,0.3830250826455823,0.0315220432052984,0.05997846217023473,0.012685287154604133,0.013622244663755872,0.08130997814842725,0.0033922435177853073,0.12051004046272394,2.3077048094646764,0.8884181974818192
45,0.10310801320463234,0.04675041651405723,0.09762011050974592,0.4569474600996979,0.786881825906404,0.0986348821802466,0.4594873303687081,0.06030894567553645,0.05447853034060485,0.004167086851799542,0.012026302664066476,0.04469337167079899,0.000848280696632807,0.23229364681024128,0.10779143589829072,0.2817363344927734
50,0.12300615101767567,0.03278139742897257,0.08604809614707097,0.39618930115685386,0.8502482084048,0.12133505782030836,0.46004676645615994,0.03846361417871499,0.0641736251849116,0.010889468221757962,0.012205829680923291,0.05107143563727246,0.002645527241251608,0.19262023642181123,0.6167062714260271,0.40805000900342514
55,0.10340320660146407,0.055971060282942756,0.06058156953613153,0.5936868542581052,0.9817983831636349,0.14609141762310573,0.2848390923827021,0.02097625562476003,0.03677172723199605,0.002697960489654621,0.004992455284399205,0.03727724376184362,0.0014740937089726066,0.14201408433886487,0.22561464716801857,0.2692150221658876
60,0.12161664634238067,0.025756391147211503,0.19816487511501318,0.3783461241630057,1.3069427889857483,0.2079221586569385,0.20029052870763578,0.01430988520439708,0.06014106240602046,0.01650140706966123,0.009415877459002875,0.06843957923227331,0.0008040737896170093,0.11996634378614743,0.851413483698103,0.361962114891237
All,0.10285786971358642,0.05637894082222579,0.0927130257155507,0.40022280375877817,0.7961375575283108,0.1191448806973359,0.34656323397377164,0.0419589685937136,0.055490887193755375,0.006627971172807381,0.009434969420169869,0.048088781317275446,0.0021230599491673945,0.18388683722780422,0.8587121365324891,0.3823588276812013
